GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Handy URI Templates,com.damnhandy.uri.template,VariableExpansionException,9,4,0,0,4,2,2,1,2,1
Handy URI Templates,com.damnhandy.uri.template,Literal,6,16,0,0,2,5,2,2,2,2
Handy URI Templates,com.damnhandy.uri.template,Expression.Builder,0,46,0,2,0,8,0,4,0,3
Handy URI Templates,com.damnhandy.uri.template,UriTemplate.Encoding,0,24,0,0,0,2,0,1,0,1
Handy URI Templates,com.damnhandy.uri.template,VarExploderException,9,0,0,0,4,0,2,0,2,0
Handy URI Templates,com.damnhandy.uri.template,UriTemplateComponent,10,6,0,0,2,3,2,1,2,1
Handy URI Templates,com.damnhandy.uri.template,MalformedUriTemplateException,0,18,0,0,0,7,0,3,0,3
Handy URI Templates,com.damnhandy.uri.template,UriTemplateBuilderException,12,4,0,0,6,2,3,1,3,1
Handy URI Templates,com.damnhandy.uri.template,Expression,115,301,23,17,28,64,16,24,4,16
Handy URI Templates,com.damnhandy.uri.template,UriUtil,0,353,0,16,0,58,0,12,0,4
Handy URI Templates,com.damnhandy.uri.template,DefaultVarExploder,41,280,19,49,13,65,18,26,0,10
Handy URI Templates,com.damnhandy.uri.template,UriTemplateBuilder,21,361,3,21,5,87,3,44,1,34
Handy URI Templates,com.damnhandy.uri.template,UriTemplate,183,1253,28,192,34,262,30,126,9,37
Handy URI Templates,com.damnhandy.uri.template.impl,VarSpec,56,176,4,18,6,39,5,17,2,9
Handy URI Templates,com.damnhandy.uri.template.impl,UriTemplateParser,25,243,7,31,5,60,7,21,0,9
Handy URI Templates,com.damnhandy.uri.template.impl,VarExploderFactory,3,8,1,1,1,2,1,1,0,1
Handy URI Templates,com.damnhandy.uri.template.impl,VarSpec.VarFormat,0,34,0,0,0,2,0,1,0,1
Handy URI Templates,com.damnhandy.uri.template.impl,Modifier,0,48,0,0,0,8,0,3,0,3
Handy URI Templates,com.damnhandy.uri.template.impl,Operator,2,199,1,7,1,28,1,13,0,10
Handy URI Templates,com.damnhandy.uri.template.jackson.datatype,UriTemplateModule,0,19,0,0,0,4,0,1,0,1
Handy URI Templates,com.damnhandy.uri.template.jackson.datatype,UriTemplateDeserializer,0,17,0,0,0,5,0,2,0,2
Handy URI Templates,com.damnhandy.uri.template.jackson.datatype,UriTemplateSerializer,0,8,0,0,0,3,0,2,0,2
